poblacion,semilla_id,semilla_desc,semilla_familia,top_k_desc
semillas observadas en entrenamiento,PE-SI5152,SIKA BOOM 500ML.ESPUM.EXPANS.,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE GLN. | ANTICORR.DURAC.GRIS MATE.CNC | CILINDRO GLP 15KG-AGIPGAS | PINT.CAUCHO PLASC.BLANCO GALON | VIRUTA #8 DON BRILLO 10 UND
catálogo completo,ONE-1003704,CARTULINA BRISTOL A4 VERDE,HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | DECORLAC FOND.CAT.BLANCO LITRO
catálogo completo,ME-CA0024,CAJA MET.4 MEDIDORES 125x60x23,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE LTS. | CILINDRO GLP 15KG-AGIPGAS | PINT.CAUCHO PLASC.BLANCO GALON | DECORLAC FOND.CAT.BLANCO LITRO | ANTICORR.DURAC.NEGRO MATE GLN. | VIRUTA #8 DON BRILLO 10 UND
catálogo completo,ME-TA0220,ABRO TAYPE AZUL 3/4  10YDS.,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | DECORLAC FOND.CAT.BLANCO LITRO
catálogo completo,PE-FC800,ASPERSONR POR UP 12CM,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | BROCA ITALY/ALMAN CONCRET 3/8 | ANTICORR.DURAC.NEGRO MATE GLN. | DECORLAC FOND.CAT.BLANCO LITRO
catálogo completo,GY-6230K,MANT MET 023X1.37X20M COBRE 1C,SIN_CATEGORIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE LTS. | TORNILLO MDF 8X1-1/2 | CILINDRO GLP 15KG-AGIPGAS | DECORLAC SELLADOR CATALI.LITRO | TORNILLO MDF 8X2 | ANTICORR.DURAC.NEGRO MATE GLN.
catálogo completo,1013390,FABULOSO LIMP. LIQUIDO LAVANDA,ABARROTES,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | TORNILLO MDF 8X1-1/2
catálogo completo,HWM-DDT7,DISCO CMDO DIAMANT 7 TURBO,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | VIRUTA #8 DON BRILLO 10 UND
catálogo completo,704-32783,IMP PIEDRAS DCORATIVAS VIDRIO,HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | DECORLAC FOND.CAT.BLANCO LITRO
catálogo completo,251001010,RIVAL PEG CODO PVC 1/2X90,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | DECORLAC SELLADOR CAT.GL | VIRUTA #5 DON BRILLO 10 UND | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE GLN. | TORNILLO MDF 8X1-1/2 | TORNILLO MDF 8X2 | BROCA ITALY/ALMAN CONCRET 3/8
catálogo completo,HW2-0243,GRAT D/AL P/ESM 7 3/4 650G PLN,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | RIVAL CODO DESAGUE 50MMX90 | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | CILINDRO GLP 15KG-AGIPGAS | TORNILLO MDF 8X1-1/2 | ANTICORR.DURAC.NEGRO MATE GLN.
catálogo completo,BV-H,BLQ VID DZ09 LATTICE,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | CILINDRO GLP 15KG-AGIPGAS | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | BROCA ITALY/ALMAN CONCRET 3/8 | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | ADITEC BETONCRYL 1 K | ANTICORR.DURAC.GRIS MATE.CNC
catálogo completo,ONE-1004853,PAPEL CREPE ROJO,HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | VIRUTA #8 DON BRILLO 10 UND
catálogo completo,HSED02,MANG.FLEX.16 LAV.CMD P/LLV ANG,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE GLN. | CILINDRO GLP 15KG-AGIPGAS | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.GRIS MATE LTRO. | ANTICORR.DURAC.BLANCO BRIL GLN
catálogo completo,PE-PL005,COLA PLASTICA ADHEPLAST CANECA,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | CILINDRO GLP 15KG-AGIPGAS | PINT.CAUCHO PLASC.BLANCO GALON | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE GLN. | RIVAL CODO DESAGUE 50MMX90 | BROCA ITALY/ALMAN CONCRET 3/8 | TORNILLO MDF 8X1-1/2
catálogo completo,1036753,CARTULINA ESCARCHADA A4 SURX10,ABARROTES,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | DECORLAC FOND.CAT.BLANCO LITRO
catálogo completo,HB-111030,JUEGO DE MESA SCRABBLE,HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | CILINDRO GLP 15KG-AGIPGAS | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | TORNILLO MDF 8X1-1/2
catálogo completo,FSPMORADO,ABRO PNT FLORES MORAD C 8ONZ,FERRETERIA,DECORLAC SELLADOR CAT.GL | VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | CILINDRO GLP 15KG-AGIPGAS | PINT.CAUCHO PLASC.BLANCO GALON | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE GLN. | DECORLAC FOND.CAT.BLANCO LITRO | BROCA ITALY/ALMAN CONCRET 3/8
catálogo completo,ME-LAM2X18,REGLETA LEED/SOQET/CABLE 2X18,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | TORNILLO MDF 8X1-1/2
catálogo completo,PP-CE1255,CESTO IMPERIAL ROJO PICA PEQ.,HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | CILINDRO GLP 15KG-AGIPGAS | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | DECORLAC FOND.CAT.BLANCO LITRO
catálogo completo,HB-BT004,SELLO SEG P/BOT 58KHZ 55MM NGR,HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | DECORLAC FOND.CAT.BLANCO LITRO | BROCA ITALY/ALMAN CONCRET 3/8
catálogo completo,HB-Q830-22,JUG SET CANILLERAS DEPORT 2PZ,HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CAT.GL | CILINDRO GLP 15KG-AGIPGAS | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | TORNILLO MDF 8X1-1/2
catálogo completo,1200090,PACIFICO AC TEE 1/2,FERRETERIA,DECORLAC SELLADOR CATALI.LITRO | DECORLAC SELLADOR CAT.GL | RIVAL CODO DESAGUE 50MMX90 | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #6 DON BRILLO 10 UND | DECORLAC FOND.CAT.BLANCO LITRO | TORNILLO MDF 8X1-1/2 | TERMOPLASTIC DUCHA S/MANG 110V
catálogo completo,HB-TZM03-BVD,BICI R29 THUNDER VERDE/RJ,HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | DECORLAC SELLADOR CATALI.LITRO | VIRUTA #8 DON BRILLO 10 UND
catálogo completo,H0103-21A,MARTILLO  M/MADERA  S/M  21 MM,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | PINT.CAUCHO PLASC.BLANCO GALON | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | DECORLAC SELLADOR CAT.GL | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | RIVAL CODO DESAGUE 50MMX90
catálogo completo,HE-LI0200,NORTON LIJA DISCO 50,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CAT.GL | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | ANTICORR.DURAC.NEGRO MATE GLN. | TORNILLO MDF 8X1-1/2 | TORNILLO MDF 8X2 | CILINDRO GLP 15KG-AGIPGAS
catálogo completo,HB-2031718,TAZA DE CERAMICA MINIONS 2 V/M,HOGAR BAZAR,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | TORNILLO MDF 8X1-1/2
catálogo completo,ADE00021,CLAVO 4X6 C/C 0.5KL,SIN_CATEGORIA,VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | VIRUTA #5 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | DECORLAC FOND.CAT.BLANCO LITRO
catálogo completo,061125A6G0000,BOSCH MARTILLO PERFO GBH 2-20,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | TORNILLO MDF 8X1-1/2
catálogo completo,N-014,BLQ VID RG CLEAR BLOCKS,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | TORNILLO MDF 8X1-1/2
catálogo completo,66254451432,NORTON DISCO PROMOCION,FERRETERIA,DECORLAC SELLADOR CATALI.LITRO | VIRUTA #6 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | ANTICORR.DURAC.NEGRO MATE LTS. | PINT.CAUCHO PLASC.BLANCO GALON | VIRUTA #5 DON BRILLO 10 UND | CILINDRO GLP 15KG-AGIPGAS | BROCA ITALY/ALMAN CONCRET 3/8 | ANTICORR.DURAC.NEGRO MATE GLN. | RIVAL CODO DESAGUE 50MMX90
catálogo completo,PE-EN131,SELLO AZUL MURIATOL GALON,FERRETERIA,VIRUTA #6 DON BRILLO 10 UND | ANTICORR.DURAC.NEGRO MATE LTS. | VIRUTA #5 DON BRILLO 10 UND | DECORLAC SELLADOR CAT.GL | DECORLAC SELLADOR CATALI.LITRO | PINT.CAUCHO PLASC.BLANCO GALON | CILINDRO GLP 15KG-AGIPGAS | ANTICORR.DURAC.NEGRO MATE GLN. | BROCA ITALY/ALMAN CONCRET 3/8 | ANTICORR.DURAC.BLANCO BRIL GLN
